,threads,points,time
0,1,10,0.00024900000000000004
1,1,100,0.000662
2,1,1000,0.003757000000000001
3,1,10000,0.033566
4,1,100000,0.32261799999999996
5,2,10,0.00024199999999999997
6,2,100,0.00045
7,2,1000,0.002097
8,2,10000,0.016708000000000004
9,2,100000,0.164499
10,4,10,0.000517
11,4,100,0.0005020000000000001
12,4,1000,0.001309
13,4,10000,0.008886000000000002
14,4,100000,0.08511099999999999
15,6,10,0.0007319999999999999
16,6,100,0.0007250000000000001
17,6,1000,0.001134
18,6,10000,0.0066510000000000015
19,6,100000,0.058048
20,8,10,0.000913
21,8,100,0.001115
22,8,1000,0.00123
23,8,10000,0.005476
24,8,100000,0.044558
25,12,10,0.0017690000000000002
26,12,100,0.0016759999999999998
27,12,1000,0.0019809999999999997
28,12,10000,0.006499
29,12,100000,0.038465
30,16,10,0.0017550000000000003
31,16,100,0.0017169999999999998
32,16,1000,0.002168
33,16,10000,0.005117000000000001
34,16,100000,0.04404600000000001
35,32,10,0.0031470000000000005
36,32,100,0.004471000000000001
37,32,1000,0.0033610000000000003
38,32,10000,0.005842
39,32,100000,0.035454
