,threads,points,time
0,1,10,0.000208
1,1,100,0.00018659999999999995
2,1,1000,0.00021060000000000002
3,1,10000,0.0003524
4,1,100000,0.0018023999999999998
5,1,1000000,0.0159661
6,1,10000000,0.1511298
7,1,100000000,1.6747520000000002
8,1,1000000000,15.771309499999997
9,2,10,0.00023450000000000004
10,2,100,0.0002112
11,2,1000,0.0002185
12,2,10000,0.00027469999999999996
13,2,100000,0.0010364999999999999
14,2,1000000,0.008114900000000001
15,2,10000000,0.07923730000000001
16,2,100000000,0.9569612000000001
17,2,1000000000,8.202608099999999
18,4,10,0.0003133000000000001
19,4,100,0.0003081
20,4,1000,0.0003122
21,4,10000,0.00032819999999999995
22,4,100000,0.0007229
23,4,1000000,0.0044047
24,4,10000000,0.04218499999999999
25,4,100000000,0.4212289
26,4,1000000000,4.5739681
27,6,10,0.000475
28,6,100,0.0004456
29,6,1000,0.00044769999999999993
30,6,10000,0.0005279
31,6,100000,0.0009176
32,6,1000000,0.0040969
33,6,10000000,0.034610800000000004
34,6,100000000,0.3014734
35,6,1000000000,3.073519
36,8,10,0.000658
37,8,100,0.0005898999999999999
38,8,1000,0.0005855
39,8,10000,0.0006503
40,8,100000,0.0008942
41,8,1000000,0.0034976
42,8,10000000,0.027745499999999996
43,8,100000000,0.2273085
44,8,1000000000,2.2176997
45,12,10,0.0008864999999999999
46,12,100,0.0010474999999999998
47,12,1000,0.0009070000000000001
48,12,10000,0.0008050000000000002
49,12,100000,0.0009796000000000002
50,12,1000000,0.0033697000000000006
51,12,10000000,0.0226681
52,12,100000000,0.181
53,12,1000000000,2.0870471999999998
54,16,10,0.0013135
55,16,100,0.0011966
56,16,1000,0.001239
57,16,10000,0.001376
58,16,100000,0.0013702
59,16,1000000,0.0031579000000000004
60,16,10000000,0.027891500000000003
61,16,100000000,0.19681069999999998
62,16,1000000000,2.0506731
63,32,10,0.0022765
64,32,100,0.0024246
65,32,1000,0.0023206999999999998
66,32,10000,0.0023691
67,32,100000,0.0022731
68,32,1000000,0.0034846999999999994
69,32,10000000,0.0198347
70,32,100000000,0.16988799999999998
71,32,1000000000,1.8122964
