,threads,keys,operations,searc,insert,time
0,1.0,1000.0,1000.0,0.1,0.0,0.001472
1,1.0,1000.0,1000.0,0.1,0.1,0.001739
2,1.0,1000.0,1000.0,0.1,0.2,0.001706
3,1.0,1000.0,1000.0,0.1,0.3,0.002103
4,1.0,1000.0,1000.0,0.1,0.4,0.001995
5,1.0,1000.0,1000.0,0.1,0.5,0.002168
6,1.0,1000.0,1000.0,0.1,0.6,0.0021
7,1.0,1000.0,1000.0,0.1,0.7,0.002445
8,1.0,1000.0,1000.0,0.1,0.8,0.00248
9,1.0,1000.0,1000.0,0.1,0.9,0.002437
10,1.0,1000.0,1000.0,0.2,0.0,0.001577
11,1.0,1000.0,1000.0,0.2,0.1,0.001681
12,1.0,1000.0,1000.0,0.2,0.2,0.001891
13,1.0,1000.0,1000.0,0.2,0.3,0.001972
14,1.0,1000.0,1000.0,0.2,0.4,0.002027
15,1.0,1000.0,1000.0,0.2,0.5,0.002348
16,1.0,1000.0,1000.0,0.2,0.6,0.002912
17,1.0,1000.0,1000.0,0.2,0.7,0.002428
18,1.0,1000.0,1000.0,0.2,0.8,0.00254
19,1.0,1000.0,1000.0,0.3,0.0,0.001751
20,1.0,1000.0,1000.0,0.3,0.1,0.001733
21,1.0,1000.0,1000.0,0.3,0.2,0.001961
22,1.0,1000.0,1000.0,0.3,0.3,0.001958
23,1.0,1000.0,1000.0,0.3,0.4,0.00215
24,1.0,1000.0,1000.0,0.3,0.5,0.002189
25,1.0,1000.0,1000.0,0.3,0.6,0.002322
26,1.0,1000.0,1000.0,0.3,0.7,0.002403
27,1.0,1000.0,1000.0,0.4,0.0,0.001843
28,1.0,1000.0,1000.0,0.4,0.1,0.00177
29,1.0,1000.0,1000.0,0.4,0.2,0.002019
30,1.0,1000.0,1000.0,0.4,0.3,0.002076
31,1.0,1000.0,1000.0,0.4,0.4,0.002355
32,1.0,1000.0,1000.0,0.4,0.5,0.002282
33,1.0,1000.0,1000.0,0.4,0.6,0.002422
34,1.0,1000.0,1000.0,0.5,0.0,0.001704
35,1.0,1000.0,1000.0,0.5,0.1,0.001859
36,1.0,1000.0,1000.0,0.5,0.2,0.001883
37,1.0,1000.0,1000.0,0.5,0.3,0.002003
38,1.0,1000.0,1000.0,0.5,0.4,0.00228
39,1.0,1000.0,1000.0,0.5,0.5,0.002418
40,1.0,1000.0,1000.0,0.6,0.0,0.001766
41,1.0,1000.0,1000.0,0.6,0.1,0.001972
42,1.0,1000.0,1000.0,0.6,0.2,0.002091
43,1.0,1000.0,1000.0,0.6,0.3,0.002167
44,1.0,1000.0,1000.0,0.6,0.4,0.002178
45,1.0,1000.0,1000.0,0.7,0.0,0.001906
46,1.0,1000.0,1000.0,0.7,0.15,0.0021
47,1.0,1000.0,1000.0,0.7,0.3,0.002253
48,1.0,1000.0,1000.0,0.8,0.0,0.001827
49,1.0,1000.0,1000.0,0.8,0.1,0.002037
50,1.0,1000.0,1000.0,0.8,0.2,0.002029
51,1.0,1000.0,1000.0,0.9,0.0,0.002069
52,1.0,1000.0,1000.0,0.9,0.1,0.002047
53,1.0,1000.0,1000.0,1.0,0.0,0.001986
54,2.0,1000.0,1000.0,0.1,0.0,0.004769
55,2.0,1000.0,1000.0,0.1,0.1,0.005055
56,2.0,1000.0,1000.0,0.1,0.2,0.004952
57,2.0,1000.0,1000.0,0.1,0.3,0.00487
58,2.0,1000.0,1000.0,0.1,0.4,0.005248
59,2.0,1000.0,1000.0,0.1,0.5,0.005031
60,2.0,1000.0,1000.0,0.1,0.6,0.006964
61,2.0,1000.0,1000.0,0.1,0.7,0.007065
62,2.0,1000.0,1000.0,0.1,0.8,0.007727
63,2.0,1000.0,1000.0,0.1,0.9,0.007346
64,2.0,1000.0,1000.0,0.2,0.0,0.005714
65,2.0,1000.0,1000.0,0.2,0.1,0.004999
66,2.0,1000.0,1000.0,0.2,0.2,0.006611
67,2.0,1000.0,1000.0,0.2,0.3,0.006187
68,2.0,1000.0,1000.0,0.2,0.4,0.006422
69,2.0,1000.0,1000.0,0.2,0.5,0.006144
70,2.0,1000.0,1000.0,0.2,0.6,0.006896
71,2.0,1000.0,1000.0,0.2,0.7,0.008506
72,2.0,1000.0,1000.0,0.2,0.8,0.007735
73,2.0,1000.0,1000.0,0.3,0.0,0.00706
74,2.0,1000.0,1000.0,0.3,0.1,0.006767
75,2.0,1000.0,1000.0,0.3,0.2,0.006865
76,2.0,1000.0,1000.0,0.3,0.3,0.008147
77,2.0,1000.0,1000.0,0.3,0.4,0.007699
