,threads,keys,operations,searc,insert,time
0,1.0,1000.0,1000.0,0.1,0.0,0.001574
1,1.0,1000.0,1000.0,0.1,0.1,0.001676
2,1.0,1000.0,1000.0,0.1,0.2,0.001774
3,1.0,1000.0,1000.0,0.1,0.3,0.001832
4,1.0,1000.0,1000.0,0.1,0.4,0.002022
5,1.0,1000.0,1000.0,0.1,0.5,0.002077
6,1.0,1000.0,1000.0,0.1,0.6,0.002225
7,1.0,1000.0,1000.0,0.1,0.7,0.002272
8,1.0,1000.0,1000.0,0.1,0.8,0.002325
9,1.0,1000.0,1000.0,0.1,0.9,0.002658
10,1.0,1000.0,1000.0,0.2,0.0,0.001436
11,1.0,1000.0,1000.0,0.2,0.1,0.001568
12,1.0,1000.0,1000.0,0.2,0.2,0.001875
13,1.0,1000.0,1000.0,0.2,0.3,0.00182
14,1.0,1000.0,1000.0,0.2,0.4,0.001952
15,1.0,1000.0,1000.0,0.2,0.5,0.002077
16,1.0,1000.0,1000.0,0.2,0.6,0.002551
17,1.0,1000.0,1000.0,0.2,0.7,0.00236
18,1.0,1000.0,1000.0,0.2,0.8,0.002397
19,1.0,1000.0,1000.0,0.3,0.0,0.001581
20,1.0,1000.0,1000.0,0.3,0.1,0.001707
21,1.0,1000.0,1000.0,0.3,0.2,0.001737
22,1.0,1000.0,1000.0,0.3,0.3,0.001956
23,1.0,1000.0,1000.0,0.3,0.4,0.002055
24,1.0,1000.0,1000.0,0.3,0.5,0.002232
25,1.0,1000.0,1000.0,0.3,0.6,0.002331
26,1.0,1000.0,1000.0,0.3,0.7,0.002285
27,1.0,1000.0,1000.0,0.4,0.0,0.001804
28,1.0,1000.0,1000.0,0.4,0.1,0.001949
29,1.0,1000.0,1000.0,0.4,0.2,0.001806
30,1.0,1000.0,1000.0,0.4,0.3,0.002014
31,1.0,1000.0,1000.0,0.4,0.4,0.002113
32,1.0,1000.0,1000.0,0.4,0.5,0.00222
33,1.0,1000.0,1000.0,0.4,0.6,0.002592
34,1.0,1000.0,1000.0,0.5,0.0,0.001781
35,1.0,1000.0,1000.0,0.5,0.1,0.001827
36,1.0,1000.0,1000.0,0.5,0.2,0.00191
37,1.0,1000.0,1000.0,0.5,0.3,0.002078
38,1.0,1000.0,1000.0,0.5,0.4,0.002069
39,1.0,1000.0,1000.0,0.5,0.5,0.002413
40,1.0,1000.0,1000.0,0.6,0.0,0.001724
41,1.0,1000.0,1000.0,0.6,0.1,0.001824
42,1.0,1000.0,1000.0,0.6,0.2,0.0021
43,1.0,1000.0,1000.0,0.6,0.3,0.001978
44,1.0,1000.0,1000.0,0.6,0.4,0.00246
45,1.0,1000.0,1000.0,0.7,0.0,0.001959
46,1.0,1000.0,1000.0,0.7,0.15,0.001948
47,1.0,1000.0,1000.0,0.7,0.3,0.002107
48,1.0,1000.0,1000.0,0.8,0.0,0.001886
49,1.0,1000.0,1000.0,0.8,0.1,0.002029
50,1.0,1000.0,1000.0,0.8,0.2,0.002052
51,1.0,1000.0,1000.0,0.9,0.0,0.001835
52,1.0,1000.0,1000.0,0.9,0.1,0.002097
53,1.0,1000.0,1000.0,1.0,0.0,0.001942
54,2.0,1000.0,1000.0,0.1,0.0,0.002967
55,2.0,1000.0,1000.0,0.1,0.1,0.004178
56,2.0,1000.0,1000.0,0.1,0.2,0.004495
57,2.0,1000.0,1000.0,0.1,0.3,0.004507
58,2.0,1000.0,1000.0,0.1,0.4,0.004711
59,2.0,1000.0,1000.0,0.1,0.5,0.005124
60,2.0,1000.0,1000.0,0.1,0.6,0.005661
61,2.0,1000.0,1000.0,0.1,0.7,0.005979
62,2.0,1000.0,1000.0,0.1,0.8,0.005925
63,2.0,1000.0,1000.0,0.1,0.9,0.006678
64,2.0,1000.0,1000.0,0.2,0.0,0.00386
65,2.0,1000.0,1000.0,0.2,0.1,0.00431
66,2.0,1000.0,1000.0,0.2,0.2,0.004982
67,2.0,1000.0,1000.0,0.2,0.3,0.004443
68,2.0,1000.0,1000.0,0.2,0.4,0.005284
69,2.0,1000.0,1000.0,0.2,0.5,0.005377
70,2.0,1000.0,1000.0,0.2,0.6,0.005465
71,2.0,1000.0,1000.0,0.2,0.7,0.006753
72,2.0,1000.0,1000.0,0.2,0.8,0.005195
73,2.0,1000.0,1000.0,0.3,0.0,0.004185
74,2.0,1000.0,1000.0,0.3,0.1,0.004515
75,2.0,1000.0,1000.0,0.3,0.2,0.004941
76,2.0,1000.0,1000.0,0.3,0.3,0.005147
77,2.0,1000.0,1000.0,0.3,0.4,0.006292
78,2.0,1000.0,1000.0,0.3,0.5,0.005946
79,2.0,1000.0,1000.0,0.3,0.6,0.006823
80,2.0,1000.0,1000.0,0.3,0.7,0.006631
81,2.0,1000.0,1000.0,0.4,0.0,0.003808
82,2.0,1000.0,1000.0,0.4,0.1,0.005145
83,2.0,1000.0,1000.0,0.4,0.2,0.004671
84,2.0,1000.0,1000.0,0.4,0.3,0.005749
85,2.0,1000.0,1000.0,0.4,0.4,0.005751
86,2.0,1000.0,1000.0,0.4,0.5,0.006175
87,2.0,1000.0,1000.0,0.4,0.6,0.005252
88,2.0,1000.0,1000.0,0.5,0.0,0.004958
89,2.0,1000.0,1000.0,0.5,0.1,0.006338
90,2.0,1000.0,1000.0,0.5,0.2,0.005098
91,2.0,1000.0,1000.0,0.5,0.3,0.005885
92,2.0,1000.0,1000.0,0.5,0.4,0.006279
93,2.0,1000.0,1000.0,0.5,0.5,0.006737
94,2.0,1000.0,1000.0,0.6,0.0,0.005231
95,2.0,1000.0,1000.0,0.6,0.1,0.00533
96,2.0,1000.0,1000.0,0.6,0.2,0.005655
97,2.0,1000.0,1000.0,0.6,0.3,0.00533
98,2.0,1000.0,1000.0,0.6,0.4,0.005191
99,2.0,1000.0,1000.0,0.7,0.0,0.005631
100,2.0,1000.0,1000.0,0.7,0.15,0.004454
101,2.0,1000.0,1000.0,0.7,0.3,0.005011
102,2.0,1000.0,1000.0,0.8,0.0,0.004908
103,2.0,1000.0,1000.0,0.8,0.1,0.00498
104,2.0,1000.0,1000.0,0.8,0.2,0.004898
