,threads,keys,operations,searc,insert,time
0,1.0,1000.0,1000.0,0.1,0.0,0.001545
1,1.0,1000.0,1000.0,0.1,0.1,0.002056
2,1.0,1000.0,1000.0,0.1,0.2,0.001716
3,1.0,1000.0,1000.0,0.1,0.3,0.003668
4,1.0,1000.0,1000.0,0.1,0.4,0.00211
5,1.0,1000.0,1000.0,0.1,0.5,0.002039
6,1.0,1000.0,1000.0,0.1,0.6,0.002405
7,1.0,1000.0,1000.0,0.1,0.7,0.002295
8,1.0,1000.0,1000.0,0.1,0.8,0.002614
9,1.0,1000.0,1000.0,0.1,0.9,0.002599
10,1.0,1000.0,1000.0,0.2,0.0,0.00162
11,1.0,1000.0,1000.0,0.2,0.1,0.00166
12,1.0,1000.0,1000.0,0.2,0.2,0.001851
13,1.0,1000.0,1000.0,0.2,0.3,0.001919
14,1.0,1000.0,1000.0,0.2,0.4,0.002469
15,1.0,1000.0,1000.0,0.2,0.5,0.002317
16,1.0,1000.0,1000.0,0.2,0.6,0.00223
17,1.0,1000.0,1000.0,0.2,0.7,0.002342
18,1.0,1000.0,1000.0,0.2,0.8,0.002521
19,1.0,1000.0,1000.0,0.3,0.0,0.001979
20,1.0,1000.0,1000.0,0.3,0.1,0.001796
21,1.0,1000.0,1000.0,0.3,0.2,0.001847
22,1.0,1000.0,1000.0,0.3,0.3,0.002058
23,1.0,1000.0,1000.0,0.3,0.4,0.002143
24,1.0,1000.0,1000.0,0.3,0.5,0.002436
25,1.0,1000.0,1000.0,0.3,0.6,0.002373
26,1.0,1000.0,1000.0,0.3,0.7,0.002565
27,1.0,1000.0,1000.0,0.4,0.0,0.001725
28,1.0,1000.0,1000.0,0.4,0.1,0.001918
29,1.0,1000.0,1000.0,0.4,0.2,0.002334
30,1.0,1000.0,1000.0,0.4,0.3,0.002243
31,1.0,1000.0,1000.0,0.4,0.4,0.002256
32,1.0,1000.0,1000.0,0.4,0.5,0.002209
33,1.0,1000.0,1000.0,0.4,0.6,0.002457
34,1.0,1000.0,1000.0,0.5,0.0,0.001734
35,1.0,1000.0,1000.0,0.5,0.1,0.001887
36,1.0,1000.0,1000.0,0.5,0.2,0.002008
37,1.0,1000.0,1000.0,0.5,0.3,0.002243
38,1.0,1000.0,1000.0,0.5,0.4,0.002189
39,1.0,1000.0,1000.0,0.5,0.5,0.002514
40,1.0,1000.0,1000.0,0.6,0.0,0.001849
41,1.0,1000.0,1000.0,0.6,0.1,0.002018
42,1.0,1000.0,1000.0,0.6,0.2,0.001989
43,1.0,1000.0,1000.0,0.6,0.3,0.002113
44,1.0,1000.0,1000.0,0.6,0.4,0.002332
45,1.0,1000.0,1000.0,0.7,0.0,0.001988
46,1.0,1000.0,1000.0,0.7,0.15,0.002172
47,1.0,1000.0,1000.0,0.7,0.3,0.002299
48,1.0,1000.0,1000.0,0.8,0.0,0.002227
49,1.0,1000.0,1000.0,0.8,0.1,0.001941
50,1.0,1000.0,1000.0,0.8,0.2,0.002187
51,1.0,1000.0,1000.0,0.9,0.0,0.002133
52,1.0,1000.0,1000.0,0.9,0.1,0.00233
53,1.0,1000.0,1000.0,1.0,0.0,0.002249
54,2.0,1000.0,1000.0,0.1,0.0,0.004826
55,2.0,1000.0,1000.0,0.1,0.1,0.004473
56,2.0,1000.0,1000.0,0.1,0.2,0.005968
57,2.0,1000.0,1000.0,0.1,0.3,0.005099
58,2.0,1000.0,1000.0,0.1,0.4,0.006726
59,2.0,1000.0,1000.0,0.1,0.5,0.007183
60,2.0,1000.0,1000.0,0.1,0.6,0.006474
61,2.0,1000.0,1000.0,0.1,0.7,0.007486
62,2.0,1000.0,1000.0,0.1,0.8,0.008736
63,2.0,1000.0,1000.0,0.1,0.9,0.006963
64,2.0,1000.0,1000.0,0.2,0.0,0.005345
65,2.0,1000.0,1000.0,0.2,0.1,0.005463
66,2.0,1000.0,1000.0,0.2,0.2,0.005776
67,2.0,1000.0,1000.0,0.2,0.3,0.00588
68,2.0,1000.0,1000.0,0.2,0.4,0.005819
69,2.0,1000.0,1000.0,0.2,0.5,0.007281
70,2.0,1000.0,1000.0,0.2,0.6,0.005866
71,2.0,1000.0,1000.0,0.2,0.7,0.00693
72,2.0,1000.0,1000.0,0.2,0.8,0.007932
73,2.0,1000.0,1000.0,0.3,0.0,0.005025
74,2.0,1000.0,1000.0,0.3,0.1,0.004993
75,2.0,1000.0,1000.0,0.3,0.2,0.006018
76,2.0,1000.0,1000.0,0.3,0.3,0.006274
77,2.0,1000.0,1000.0,0.3,0.4,0.006311
